5,500,450
5,450,400
5,400,350
11,500,450
11,450,500
17,500,550
11,500,550
11,550,600
17,550,600
2,500,500
14,500,500
5,350,350
14,500,550
2,500,550
8,500,550
5,350,350
14,550,550
14,550,600
8,550,600
17,600,550
14,600,550
11,600,650
11,650,600
8,600,600
5,350,400
5,400,400
5,400,350
2,550,600
2,600,550
17,550,600
17,600,650
2,550,500
17,650,650
17,650,650
17,650,600
14,550,600
11,600,650
5,350,350
8,600,550
11,650,650
11,650,600
2,500,550
2,550,500
5,350,400
5,400,400
2,500,550
5,400,350
5,350,300
8,550,550
14,600,550
8,500,450
17,500,450
17,450,450
5,500,550
11,500,450
11,450,450
11,450,450
5,550,550
2,500,450
11,450,450
5,550,500
14,500,450
14,450,500
17,450,400
8,450,450
17,400,450
11,450,400
14,500,500
11,400,450
5,500,550
5,550,500
11,450,500
14,500,450
8,450,500
8,500,450
11,500,500
17,450,500
11,500,500
14,450,400
11,500,550
17,500,500
5,500,500
2,450,450
11,550,550
8,450,500
2,450,500
5,500,550
17,500,500
5,550,500
2,500,450
8,500,500
8,500,500
14,400,450
17,500,450
2,450,500
14,450,450
8,500,450
14,450,450
5,500,450
5,450,400
5,500,450
17,500,500
14,500,500
8,500,550
5,450,450
2,500,500
11,500,450
14,500,450
14,450,450
17,500,450
8,550,500
8,500,450
2,500,500
17,450,400
2,500,550
5,450,450
8,450,400
17,400,350
14,450,500
14,500,550
17,350,350
2,550,600
11,450,400
2,600,600
14,550,550
2,600,650
14,550,500
14,500,500
11,400,400
2,650,600
17,350,400
5,450,400
14,500,450
2,600,550
2,550,500
8,400,350
11,400,400
5,400,450
14,450,400
2,500,450
8,350,400
14,400,450
5,450,400
17,400,450
8,400,450
17,450,500
14,450,450
11,400,450
17,500,550
5,400,400
17,500,550
2,500,450
14,500,500
5,500,500
17,550,500
8,500,550
2,450,450
5,500,450
8,550,550
5,450,400
5,400,450
8,550,500
14,500,450
14,450,450
11,500,450
17,500,550
11,450,400
8,500,450
17,550,500
14,450,400
11,400,450
8,450,450
17,500,500
5,450,500
17,500,550
14,400,350
17,550,500
5,500,550
11,450,450
14,350,350
5,550,550
2,450,450
8,450,500
14,350,400
14,400,450
8,500,550
8,550,600
14,450,500
2,450,500
5,550,500
5,500,450
8,600,600
5,450,400
11,450,500
8,600,550
17,500,550
5,400,350
17,550,500
8,550,550
5,350,400
8,500,550
11,500,550
2,500,450
5,500,500
8,550,600
17,500,550
2,450,500
8,600,600
14,500,450
14,450,500
11,550,550
8,600,550
17,550,500
17,500,550
8,550,600
14,500,500
2,500,500
11,550,550
8,600,600
2,500,550
11,550,500
2,550,500
11,500,500
17,550,550
14,500,450
5,500,550
2,500,550
11,500,550
11,550,500
11,500,550
5,550,550
17,550,500
17,500,550
14,450,400
14,400,450
8,600,550
11,550,550
17,550,600
17,600,650
11,550,600
17,650,650
14,450,450
5,550,500
8,550,550
14,450,400
8,550,500
5,500,550
11,600,600
5,550,500
14,400,450
2,500,550
14,500,500
5,500,500
14,500,550
11,500,450
17,500,550
17,550,550
5,500,500
17,550,500
17,500,500
14,550,600
8,500,550
14,600,650
5,500,450
11,450,500
5,450,400
11,500,500
14,650,600
11,500,500
17,500,500
5,400,400
14,600,600
11,500,500
17,500,450
8,550,550
8,550,600
11,500,550
8,600,650
8,650,700
2,550,550
17,450,450
5,400,400
11,550,550
8,700,700
2,550,500
17,450,400
14,600,550
2,500,500
17,400,400
2,500,550
17,400,450
14,550,600
8,700,650
8,650,600
2,550,550
11,550,500
14,600,550
5,400,450
11,500,500
5,450,400
5,500,450
11,500,450
2,500,500
11,450,400
14,500,450
17,500,550
17,550,500
8,500,450
11,400,450
17,500,500
14,450,450
14,450,400
11,450,500
8,450,500
11,500,550
2,500,500
5,450,400
11,550,500
17,500,450
5,400,450
11,500,500
17,450,450
8,500,500
14,400,400
14,400,350
2,500,450
11,500,450
14,350,350
17,450,450
11,450,500
14,350,350
17,450,500
17,500,450
5,450,500
2,450,500
14,350,300
5,500,550
2,500,450
8,500,550
14,300,300
11,500,550
8,550,550
8,550,550
5,550,600
5,600,600
5,600,550
2,450,400
2,400,400
2,400,350
17,450,500
17,500,500
14,500,450
17,500,550
17,550,500
17,500,550
17,550,550
2,500,500
14,450,450
8,500,450
17,550,600
5,500,550
2,500,550
14,450,500
5,550,550
14,500,550
2,550,550
14,550,600
2,550,550
8,450,450
2,550,550
2,550,550
2,550,550
2,550,550
2,550,550
14,600,650
2,550,550
14,650,700
2,550,550
17,600,550
2,550,550
8,450,450
17,550,500
11,500,500
17,500,500
11,500,500
5,550,600
2,550,600
8,450,450
5,600,550
5,550,550
17,500,500
11,500,500
2,600,600
8,450,400
5,550,550
11,500,450
8,500,550
14,500,500
14,500,550
11,500,500
5,500,450
11,500,500
8,550,550
17,500,500
11,500,450
5,450,450
17,500,450
17,450,500
2,500,500
5,450,400
14,550,600
14,600,550
5,400,450
11,450,500
17,500,450
11,500,550
